	Год	День	Месяц	Час	Лексема	Часть речи
0	2010	13	12	17	классный	ADJF
1	2010	13	12	17	мультик	NOUN
2	2010	13	12	17	помнить	INFN
3	2010	13	12	17	как	CONJ
4	2010	13	12	17	мы	NPRO
5	2010	13	12	17	ржать	INFN
6	2010	13	12	17	это	PRCL
7	2010	13	12	17	быть	INFN
8	2010	13	12	17	чудесный	ADJF
9	2010	13	12	17	день	NOUN
10	2010	09	11	17	алин	NOUN
11	2010	09	11	17	весь	ADJF
12	2010	09	11	17	быть	INFN
13	2010	09	11	17	хорошо	ADVB
14	2010	07	11	21	ладный	ADJF
15	2010	07	11	21	ладный	ADJF
16	2010	07	11	21	в	PREP
17	2010	07	11	21	я	NPRO
18	2010	07	11	21	ты	NPRO
19	2010	07	11	21	такой	ADJF
20	2010	07	11	21	в	PREP
21	2010	07	11	21	я	NPRO
22	2010	26	10	15	приветик	NOUN
23	2010	26	10	15	лишенек	ADJS
24	2010	26	10	15	солнышко	NOUN
25	2010	26	10	15	мой	ADJF
26	2010	24	10	16	лишек	NOUN
27	2010	24	10	16	ты	NPRO
28	2010	24	10	16	ожидать	INFN
29	2010	24	10	16	интересный	ADJF
30	2010	24	10	16	книга	NOUN
31	2010	24	10	16	кликнуть	INFN
32	2010	24	10	16	по	PREP
33	2010	24	10	16	шар	NOUN
34	2010	24	10	16	чтобы	CONJ
35	2010	24	10	16	получить	INFN
36	2010	24	10	16	новое	NOUN
37	2010	24	10	16	предсказание	NOUN
38	2010	23	10	20	я	NPRO
39	2010	23	10	20	тоже	ADVB
40	2010	23	10	20	микроблог	NOUN
41	2010	23	10	20	бееееееееесиииииит	NOUN
42	2010	23	10	20	хоррошра	NOUN
43	2010	23	10	20	а	CONJ
44	2010	23	10	20	ты	NPRO
45	2010	23	10	20	как	CONJ
46	2010	22	10	19	да	PRCL
47	2010	22	10	19	ващий	ADJF
48	2010	22	10	19	капец	NOUN
49	2010	22	10	19	привет	NOUN
50	2010	16	10	23	почему	ADVB
51	2010	16	10	23	вроде	PRCL
52	2010	16	10	23	я	NPRO
53	2010	16	10	23	хорошо	ADVB
54	2010	16	10	21	аааскучать	INFN
55	2010	16	10	21	безумно	ADVB
56	2010	16	10	21	как	CONJ
57	2010	16	10	21	ты	NPRO
58	2010	16	10	21	тама	NOUN
59	2010	16	10	20	привет	NOUN
60	2010	16	10	20	любимый	ADJF
61	2010	16	10	20	мой	ADJF
62	2010	15	10	22	прикольнуться	INFN
63	2010	15	10	22	нарисовать	INFN
